GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006364	rRNA processing	14	99	14.14%	327	6486	5.04%	YDR449C, YEL026W, YER127W, YGR128C, YGR159C, YHR066W, YHR196W, YJL069C, YKL078W, YMR093W, YNL112W, YNL182C, YOL041C, YOL080C
GO:0005975	carbohydrate metabolic process	12	99	12.12%	148	6486	2.28%	YBR105C, YBR149W, YCL040W, YEL011W, YER062C, YFR015C, YIL155C, YIL162W, YKR097W, YNL117W, YOL136C, YPR184W
GO:0042274	ribosomal small subunit biogenesis	9	99	9.09%	137	6486	2.11%	YDR449C, YEL026W, YER127W, YGR128C, YGR159C, YHR196W, YJL069C, YKL078W, YMR093W
GO:0006629	lipid metabolic process	9	99	9.09%	297	6486	4.58%	YBL039C, YGR157W, YJR073C, YKL182W, YLR133W, YNR016C, YOL151W, YPL231W, YPR006C
GO:0042273	ribosomal large subunit biogenesis	8	99	8.08%	118	6486	1.82%	YCR072C, YDL063C, YHR066W, YIR012W, YJL122W, YNL182C, YOL041C, YOL080C
GO:0006360	transcription by RNA polymerase I	7	99	7.07%	70	6486	1.08%	YGR128C, YHR196W, YJL148W, YJR063W, YML043C, YMR093W, YNL248C
GO:0032787	monocarboxylic acid metabolic process	7	99	7.07%	127	6486	1.96%	YCL040W, YKL182W, YNL117W, YNR016C, YOL136C, YPL231W, YPR006C
GO:0042221	response to chemical	6	99	6.06%	440	6486	6.78%	YDR216W, YGR008C, YKL109W, YLR224W, YNL173C, YOR271C
GO:0055086	nucleobase-containing small molecule metabolic process	6	99	6.06%	163	6486	2.51%	YBL039C, YCL040W, YMR300C, YNL141W, YNR001C, YOL136C
GO:0042255	ribosome assembly	6	99	6.06%	64	6486	0.99%	YCR072C, YGR159C, YHR066W, YIR012W, YNL182C, YOL080C
